year,semi_final,semi_draw_position,country,style,semi_place,semi_televote_points,semi_jury_points,semi_total_points
2013,1,15,Belgium,Pop,5.0,,,75.0
2013,1,16,Serbia,Dance,11.0,,,46.0
2013,2,1,Latvia,Dance,17.0,,,13.0
2013,2,2,San Marino,Ballad,11.0,,,47.0
2013,2,3,North Macedonia,Traditional,16.0,,,28.0
2013,2,4,Azerbaijan,Ballad,1.0,,,139.0
2013,2,5,Finland,Pop,9.0,,,64.0
2013,2,6,Malta,Pop,4.0,,,118.0
2013,2,7,Bulgaria,Traditional,12.0,,,45.0
2013,2,8,Iceland,Traditional,6.0,,,72.0
2013,2,9,Greece,Traditional,2.0,,,121.0
2013,2,10,Israel,Ballad,14.0,,,40.0
2013,2,11,Armenia,Rock,7.0,,,69.0
2013,2,12,Hungary,Pop,8.0,,,66.0
2013,2,13,Norway,Dance,3.0,,,120.0
2013,2,14,Albania,Rock,15.0,,,31.0
2013,2,15,Georgia,Ballad,10.0,,,63.0
2013,2,16,Switzerland,Pop,13.0,,,41.0
2013,2,17,Romania,Dance,5.0,,,83.0
2012,1,1,Montenegro,Traditional,15.0,,,20.0
2012,1,2,Iceland,Ballad,8.0,,,75.0
2012,1,3,Greece,Dance,4.0,,,116.0
2012,1,4,Latvia,Pop,16.0,,,17.0
2012,1,5,Albania,Ballad,2.0,,,146.0
2012,1,6,Romania,Dance,3.0,,,120.0
2012,1,7,Switzerland,Rock,11.0,,,45.0
2012,1,8,Belgium,Ballad,17.0,,,16.0
2012,1,9,Finland,Ballad,12.0,,,41.0
2012,1,10,Israel,Pop,13.0,,,33.0
2012,1,11,San Marino,Dance,14.0,,,31.0
2012,1,12,Cyprus,Dance,7.0,,,91.0
2012,1,13,Denmark,Rock,9.0,,,63.0
2012,1,14,Russia,Dance,1.0,,,152.0
2012,1,15,Hungary,Pop,10.0,,,52.0
2012,1,16,Austria,Dance,18.0,,,8.0
2012,1,17,Moldova,Pop,5.0,,,100.0
2012,1,18,Ireland,Dance,6.0,,,92.0
2012,2,1,Serbia,Ballad,2.0,,,159.0
2012,2,2,North Macedonia,Rock,9.0,,,53.0
2012,2,3,Netherlands,Pop,15.0,,,35.0
2012,2,4,Malta,Dance,7.0,,,70.0
2012,2,5,Belarus,Dance,16.0,,,35.0
2012,2,6,Portugal,Ballad,13.0,,,39.0
2012,2,7,Ukraine,Dance,8.0,,,64.0
2012,2,8,Bulgaria,Dance,11.0,,,45.0
2012,2,9,Slovenia,Ballad,17.0,,,31.0
2012,2,10,Croatia,Ballad,12.0,,,42.0
2012,2,11,Sweden,Dance,1.0,,,181.0
2012,2,12,Georgia,Pop,14.0,,,36.0
2012,2,13,Turkey,Traditional,5.0,,,80.0
2012,2,14,Estonia,Ballad,4.0,,,100.0
2012,2,15,Slovakia,Rock,18.0,,,22.0
2012,2,16,Norway,Dance,10.0,,,45.0
2012,2,17,Bosnia and Herzegovina,Ballad,6.0,,,77.0
2012,2,18,Lithuania,Ballad,3.0,,,104.0
2011,1,1,Poland,Pop,19.0,,,18.0
2011,1,2,Norway,Pop,17.0,,,30.0
2011,1,3,Albania,Rock,14.0,,,47.0
2011,1,4,Armenia,Pop,12.0,,,54.0
2011,1,5,Turkey,Rock,13.0,,,47.0
2011,1,6,Serbia,Pop,8.0,,,67.0
2011,1,7,Russia,Pop,9.0,,,64.0
2011,1,8,Switzerland,Pop,10.0,,,55.0
2011,1,9,Georgia,Rock,6.0,,,74.0
2011,1,10,Finland,Pop,3.0,,,103.0
2011,1,11,Malta,Pop,11.0,,,54.0
2011,1,12,San Marino,Ballad,16.0,,,34.0
2011,1,13,Croatia,Dance,15.0,,,41.0
2011,1,14,Iceland,Pop,4.0,,,100.0
2011,1,15,Hungary,Dance,7.0,,,72.0
2011,1,16,Portugal,Pop,18.0,,,22.0
2011,1,17,Lithuania,Ballad,5.0,,,81.0
2011,1,18,Azerbaijan,Ballad,2.0,,,122.0
2011,1,19,Greece,Pop,1.0,,,133.0
2011,2,1,Bosnia and Herzegovina,Pop,5.0,,,109.0
2011,2,2,Austria,Ballad,7.0,,,69.0
2011,2,3,Netherlands,Ballad,19.0,,,13.0
2011,2,4,Belgium,Pop,11.0,,,53.0
2011,2,5,Slovakia,Ballad,13.0,,,48.0
2011,2,6,Ukraine,Ballad,6.0,,,81.0
2011,2,7,Moldova,Rock,10.0,,,54.0
2011,2,8,Sweden,Dance,1.0,,,155.0
2011,2,9,Cyprus,Pop,18.0,,,16.0
2011,2,10,Bulgaria,Rock,12.0,,,48.0
2011,2,11,North Macedonia,Pop,16.0,,,36.0
2011,2,12,Israel,Pop,15.0,,,38.0
2011,2,13,Slovenia,Ballad,3.0,,,112.0
2011,2,14,Romania,Pop,4.0,,,111.0
2011,2,15,Estonia,Pop,9.0,,,60.0
2011,2,16,Belarus,Pop,14.0,,,45.0
2011,2,17,Latvia,Pop,17.0,,,25.0
2011,2,18,Denmark,Rock,2.0,,,135.0
2011,2,19,Ireland,Pop,8.0,,,68.0
2010,1,2,Russia,Ballad,7.0,,,74.0
2010,1,3,Estonia,Pop,14.0,,,39.0
2010,1,4,Slovakia,Traditional,16.0,,,24.0
2010,1,5,Finland,Traditional,11.0,,,49.0
2010,1,6,Latvia,Ballad,17.0,,,11.0
2010,1,7,Serbia,Pop,5.0,,,79.0
2010,1,8,Bosnia and Herzegovina,Rock,8.0,,,59.0
2010,1,9,Poland,Ballad,13.0,,,44.0
2010,1,10,Belgium,Pop,1.0,,,167.0
2010,1,11,Malta,Ballad,12.0,,,45.0
2010,1,12,Albania,Pop,6.0,,,76.0
2010,1,13,Greece,Pop,2.0,,,133.0
2010,1,14,Portugal,Ballad,4.0,,,89.0
2010,1,15,North Macedonia,Pop,15.0,,,37.0
2010,1,16,Belarus,Ballad,9.0,,,59.0
2010,1,17,Iceland,Dance,3.0,,,123.0
2010,2,1,Lithuania,Dance,12.0,,,44.0
2010,2,2,Armenia,Pop,6.0,,,83.0
2010,2,3,Israel,Ballad,8.0,,,71.0
2010,2,4,Denmark,Pop,5.0,,,101.0
